date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2021-08-10,ID,4,36,9,49,0.1,0.8163265306122449,0.11868770764119603,0.8370097365091589
2021-08-09,ID,5,35,9,49,0.125,0.8163265306122449,0.11943958734044413,0.8334868988026478
2021-08-08,ID,6,38,9,53,0.13636363636363635,0.8301886792452831,0.11623445913531594,0.830571446907604
2021-08-07,ID,5,39,9,53,0.11363636363636363,0.8301886792452831,0.11004297619964695,0.8278760291178466
2021-08-06,ID,6,37,10,53,0.13953488372093023,0.8113207547169812,0.11042050564694383,0.8251806113280892
2021-08-05,ID,5,38,10,53,0.11627906976744186,0.8113207547169812,0.10709824651073122,0.8251806113280892
2021-08-04,ID,5,45,3,53,0.1,0.9433962264150944,0.10709824651073122,0.8251806113280892
2021-08-03,ID,4,34,10,48,0.10526315789473684,0.7916666666666666,0.1070982465107312,0.8251806113280892
2021-08-02,ID,4,35,10,49,0.10256410256410256,0.7959183673469388,0.1030496635147798,0.8257879971395568
2021-08-01,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.09938665985177612,0.8257879971395566
2021-07-31,ID,5,38,10,53,0.11627906976744186,0.8113207547169812,0.09938665985177615,0.8257879971395566
2021-07-30,ID,5,38,10,53,0.11627906976744186,0.8113207547169812,0.09606440071556352,0.8257879971395566
2021-07-29,ID,5,38,10,53,0.11627906976744186,0.8113207547169812,0.09274214157935089,0.8257879971395566
2021-07-28,ID,5,45,3,53,0.1,0.9433962264150944,0.08941988244313825,0.8257879971395568
2021-07-27,ID,3,36,10,49,0.07692307692307693,0.7959183673469388,0.0865627395859954,0.8257879971395566
2021-07-26,ID,3,36,10,49,0.07692307692307693,0.7959183673469388,0.08685192408570623,0.8251806113280892
2021-07-25,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08714110858541703,0.8245732255166216
2021-07-24,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08381884944920441,0.8245732255166217
2021-07-23,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08381884944920441,0.8245732255166216
2021-07-22,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08381884944920441,0.8245732255166217
2021-07-21,ID,4,46,3,53,0.08,0.9433962264150944,0.08381884944920441,0.8245732255166219
