yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
6,38,4,48,0.13636363636363635,0.9166666666666666,0.20960255214398885,0.7704471280554536
18,142,25,185,0.1125,0.8648648648648649,0.22567398071541742,0.7613461903830874
30,101,3,134,0.22900763358778625,0.9776119402985075,0.20124649979938686,0.77113490912703
38,96,7,141,0.2835820895522388,0.950354609929078,0.21097685355546833,0.800052155645824
35,68,3,106,0.33980582524271846,0.9716981132075472,0.21446559782091162,0.8205768178601869
48,173,6,227,0.2171945701357466,0.973568281938326,0.22406482212601833,0.8406103819466145
24,58,1,83,0.2926829268292683,0.9879518072289156,0.23016238310162804,0.9489594691619864
10,26,17,53,0.2777777777777778,0.6792452830188679,0.2503644033036483,0.9150421286408724
3,20,12,35,0.13043478260869565,0.6571428571428571,0.2529265151048905,0.8853675561091569
29,125,4,158,0.18831168831168832,0.9746835443037974,0.24711280863687654,0.8849492138241983
22,79,30,131,0.21782178217821782,0.7709923664122137,0.23771847901201637,0.859326036178932
37,63,25,125,0.37,0.8,0.24203193254877092,0.8347977342921394
17,83,3,103,0.17,0.970873786407767,0.23528985110080708,0.8344128063592026
11,50,4,65,0.18032786885245902,0.9384615384615385,0.21923912853269148,0.827342767963863
10,62,47,119,0.1388888888888889,0.6050420168067226,0.19939785869142163,0.8167423013621279
14,29,4,47,0.32558139534883723,0.9148936170212766,0.22727594622572758,0.8535638384876164
26,67,2,95,0.27956989247311825,0.9789473684210527,0.24031283253450328,0.8541729562186529
4,7,18,29,0.36363636363636365,0.3793103448275862,0.26114348702852413,0.7982183817065633
11,57,11,79,0.16176470588235295,0.8607594936708861,0.23139558786886025,0.8068983093738327
24,28,1,53,0.46153846153846156,0.9811320754716981,0.2730439395172119,0.8083637792401086
0,5,45,50,0.0,0.1,0.24728281539543204,0.6885835594598887
8,161,11,180,0.047337278106508875,0.9388888888888889,0.23420401385509204,0.7362759697573411
4,72,124,200,0.05263157894736842,0.38,0.1952111829405965,0.6598625958971587
45,82,8,135,0.3543307086614173,0.9407407407407408,0.2058912995389249,0.6544045062285427
9,47,7,63,0.16071428571428573,0.8888888888888888,0.17690243126434235,0.7272014410944431
51,152,6,209,0.2512315270935961,0.9712918660287081,0.1896834057230914,0.7429917800027034
2,9,55,66,0.18181818181818182,0.16666666666666666,0.14972336576305142,0.6266395787448417
6,6,2,14,0.5,0.8571428571428571,0.22115193719162285,0.7348028440509643
21,50,5,76,0.29577464788732394,0.9342105263157895,0.25664299001745355,0.7341345065405215
4,50,10,64,0.07407407407407407,0.84375,0.25970620360698293,0.8003845065405215
22,97,3,122,0.18487394957983194,0.9754098360655737,0.23549809516675646,0.805337234444069
15,70,419,504,0.17647058823529413,0.16865079365079366,0.23774899552690051,0.702446077981484
2,41,9,52,0.046511627906976744,0.8269230769230769,0.20850329564309775,0.681821965252108
20,62,20,102,0.24390243902439024,0.803921568627451,0.2173724752439847,0.7728583798179345
2,0,0,2,1.0,1.0,0.2888010466725562,0.7932665430832405
11,5,1,17,0.6875,0.9411764705882353,0.3447618112600813,0.7942616779793042
20,71,3,94,0.21978021978021978,0.9680851063829787,0.3655769749323878,0.8120238360340155
45,76,20,141,0.371900826446281,0.8581560283687943,0.3922951001990234,0.7952732920773327
28,31,4,63,0.4745762711864407,0.9365079365079365,0.43488162633490146,0.9049671696283531
