date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2021-07-04,NJ,8,76,12,96,0.09523809523809523,0.875,0.09496722528122434,0.9376377135474945
2021-07-03,NJ,8,75,13,96,0.0963855421686747,0.8645833333333334,0.10419371635428534,0.9361496183093992
2021-07-02,NJ,8,77,11,96,0.09411764705882353,0.8854166666666666,0.11396436710270687,0.9412580049476366
2021-07-01,NJ,8,76,12,96,0.09523809523809523,0.875,0.1072822167389329,0.9411566030007192
2021-06-30,NJ,8,83,5,96,0.08791208791208792,0.9479166666666666,0.11034404330340238,0.9515732696673859
2021-06-29,NJ,7,60,11,78,0.1044776119402985,0.8589743589743589,0.11134674550074995,0.9355165241219235
2021-06-28,NJ,7,60,11,78,0.1044776119402985,0.8589743589743589,0.12086638279491997,0.9355165241219235
2021-06-27,NJ,8,76,12,96,0.09523809523809523,0.875,0.11551092342390028,0.9389267601244843
2021-06-26,NJ,8,75,13,96,0.0963855421686747,0.8645833333333334,0.11968246944201623,0.937438664886389
2021-06-25,NJ,8,76,12,96,0.09523809523809523,0.875,0.1138175487713419,0.941058956286531
2021-06-24,NJ,8,77,11,96,0.09411764705882353,0.8854166666666666,0.11657293664077538,0.9425470515246264
2021-06-23,NJ,8,83,5,96,0.08791208791208792,0.9479166666666666,0.11897556300713819,0.9514756229531978
2021-06-22,NJ,7,59,12,78,0.10606060606060606,0.8461538461538461,0.11229335296945657,0.9336850222904217
2021-06-21,NJ,8,58,12,78,0.12121212121212122,0.8461538461538461,0.092664788198922,0.9307721550158524
2021-06-20,NJ,8,77,11,96,0.09411764705882353,0.8854166666666666,0.08613731022793447,0.9373196172673415
2021-06-19,NJ,8,76,12,96,0.09523809523809523,0.875,0.08151476555789257,0.9355727228574036
2021-06-18,NJ,8,76,12,96,0.09523809523809523,0.875,0.08539946127547238,0.9374225926501675
2021-06-17,NJ,8,77,11,96,0.09411764705882353,0.8854166666666666,0.08932556851053239,0.9394518134293882
2021-06-16,NJ,6,84,6,96,0.06666666666666667,0.9375,0.08754352702260856,0.9468922896198644
2021-06-15,NJ,7,59,12,78,0.10606060606060606,0.8461538461538461,0.11956727316039246,0.9336850222904217
2021-06-14,NJ,6,60,12,78,0.09090909090909091,0.8461538461538461,0.12059562194599938,0.958594986276016
2021-06-13,NJ,7,77,12,96,0.08333333333333333,0.875,0.11041122764582509,0.959754804260799
2021-06-12,NJ,7,77,12,96,0.08333333333333333,0.875,0.11806564219679136,0.9583681109696213
2021-06-11,NJ,7,78,11,96,0.08235294117647059,0.8854166666666666,0.12943565415493027,0.9641366300819009
2021-06-10,NJ,7,78,11,96,0.08235294117647059,0.8854166666666666,0.11816274535981416,0.9641366300819009
2021-06-09,NJ,8,82,6,96,0.08888888888888889,0.9375,0.11843350459141211,0.9715771062723771
2021-06-08,NJ,7,60,11,78,0.1044776119402985,0.8589743589743589,0.11494864291968808,0.9590262052220864
2021-06-07,NJ,7,60,11,78,0.1044776119402985,0.8589743589743589,0.11259520428907553,0.9604264881075179
2021-06-06,NJ,8,76,12,96,0.09523809523809523,0.875,0.11128601321254095,0.9619030319729366
2021-06-05,NJ,8,77,11,96,0.09411764705882353,0.8854166666666666,0.1062874313121508,0.9633911272110317
2021-06-04,NJ,8,76,12,96,0.09523809523809523,0.875,0.11502620385443389,0.9626485348438055
2021-06-03,NJ,7,78,11,96,0.08235294117647059,0.8854166666666666,0.1147516519116475,0.9641366300819009
2021-06-02,NJ,7,84,5,96,0.07692307692307693,0.9479166666666666,0.11980686080839302,0.9730652015104723
2021-06-01,NJ,6,61,11,78,0.08955223880597014,0.8589743589743589,0.11498948486679285,0.9590262052220864
2021-05-31,NJ,6,61,11,78,0.08955223880597014,0.8589743589743589,0.11354648342379137,0.9590262052220864
2021-05-30,NJ,7,78,11,96,0.08235294117647059,0.8854166666666666,0.1068010946487815,0.9655233233730787
2021-05-29,NJ,7,78,11,96,0.08235294117647059,0.8854166666666666,0.11472351745190221,0.9655233233730787
