date,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-11-12,688,3427,1390,5505,0.1671931956257594,0.7475022706630337,0.1724654277975418,0.7521150142128873
2022-11-11,723,3422,1362,5507,0.1744270205066345,0.752678409297258,0.17215537885371962,0.7521186074217877
2022-11-10,719,3434,1352,5505,0.17312785937876235,0.7544050862851953,0.17195134810375326,0.7519861763982092
2022-11-09,769,3520,1208,5497,0.17929587316390766,0.7802437693287247,0.1720203840655173,0.7515110407418452
2022-11-08,704,3316,1397,5417,0.17512437810945275,0.7421081779582794,0.17178456914125276,0.752217147993986
2022-11-07,688,3333,1405,5426,0.171101715991047,0.7410615554736454,0.17252677272533548,0.7533841018468058
2022-11-06,693,3457,1407,5557,0.16698795180722892,0.7468058304840741,0.17386186309519241,0.7538261083893908
2022-11-05,686,3471,1404,5561,0.1650228530190041,0.7475274231253372,0.17386246819415968,0.7537618019104082
2022-11-04,724,3461,1382,5567,0.17299880525686978,0.7517513921322077,0.17441646123280827,0.753640569879374
2022-11-03,725,3451,1384,5560,0.1736111111111111,0.7510791366906475,0.17483301877044882,0.7534228326336974
2022-11-02,774,3583,1192,5549,0.17764516869405556,0.7851865200937106,0.17542286835399387,0.7532816619865742
2022-11-01,733,3332,1353,5418,0.18031980319803198,0.7502768549280178,0.1760702498511034,0.7531768648454139
2022-10-31,718,3261,1368,5347,0.18044734858004524,0.7441556012717412,0.1757446773612885,0.752088662026741
2022-10-30,684,3412,1392,5488,0.1669921875,0.7463556851311953,0.17554854851843635,0.7520085102727535
2022-10-29,693,3410,1392,5495,0.16890080428954424,0.7466787989080983,0.17624989764144933,0.7523143332747876
2022-10-28,726,3401,1374,5501,0.17591470802035378,0.7502272314124705,0.17674097657584809,0.7526587312665868
2022-10-27,733,3391,1374,5498,0.17774005819592628,0.7500909421607858,0.1772220042857012,0.7526067784852165
2022-10-26,785,3524,1184,5493,0.18217683917382224,0.784452940105589,0.17719351393741792,0.7526978341935965
2022-10-25,707,3264,1376,5347,0.17804079576932763,0.7426594351973069,0.17744121097509652,0.7526937834758209
2022-10-24,712,3264,1371,5347,0.1790744466800805,0.7435945389938283,0.17798411296661576,0.7526127866506235
2022-10-23,706,3401,1380,5487,0.17190163136109082,0.7484964461454346,0.17823562202094173,0.7525532196648562
2022-10-22,709,3405,1378,5492,0.17233835683033544,0.7490895848506919,0.17797886662734602,0.7523923459396392
2022-10-21,739,3383,1375,5497,0.17928190198932556,0.749863561942878,0.17792512471918367,0.7520631199205259
2022-10-20,732,3391,1369,5492,0.17754062575794324,0.7507283321194465,0.1782874504090203,0.7523538588111455
2022-10-19,791,3510,1182,5483,0.18391071843757265,0.78442458508116,0.17873958152310204,0.7527730266201418
2022-10-18,721,3244,1378,5343,0.18184110970996217,0.7420924574209246,0.1789387632831425,0.7528222019414059
2022-10-17,719,3257,1374,5350,0.18083501006036218,0.743177570093458,0.17894201236788937,0.7529520108556779
2022-10-16,701,3420,1393,5514,0.1701043436059209,0.7473703300689155,0.17899771087332242,0.7528879731977118
2022-10-15,709,3414,1398,5521,0.17196216347319912,0.7467850027168991,0.17969196145167374,0.7514609072360742
2022-10-14,756,3402,1372,5530,0.18181818181818182,0.7518987341772152,0.18005082200985917,0.7499902003576396
2022-10-13,753,3414,1362,5529,0.18070554355651547,0.75366250678242,0.17991554062457776,0.7485337023985467
2022-10-12,802,3526,1187,5515,0.18530499075785584,0.7847688123300091,0.1795986054930661,0.7471436965303783
2022-10-11,724,3257,1377,5358,0.18186385330319016,0.7430011198208286,0.17946271274145792,0.7459688899693105
2022-10-10,722,3262,1380,5364,0.18122489959839358,0.7427293064876958,0.17971684078724262,0.7459833246470852
2022-10-09,731,3447,1488,5666,0.1749640976543801,0.7373808683374514,0.18035562103819805,0.7463075758982487
2022-10-08,730,3454,1497,5681,0.17447418738049714,0.7364900545678578,0.1802419352955678,0.7475562454255112
2022-10-07,764,3460,1471,5695,0.18087121212121213,0.7417032484635645,0.18054769158535425,0.7488738438217953
2022-10-06,755,3475,1456,5686,0.17848699763593381,0.743932465705241,0.18108310655854215,0.7503523147778566
2022-10-05,813,3597,1269,5679,0.18435374149659864,0.7765451664025357,0.18196178566673213,0.7516819114300345
2022-10-04,732,3254,1378,5364,0.18364274962368288,0.7431021625652499,0.1824963642638401,0.7529303040227813
2022-10-03,740,3245,1364,5349,0.18569636135508155,0.7449990652458404,0.18275938159870567,0.7529656478173189
2022-10-02,712,3376,1391,5479,0.17416829745596868,0.7461215550282898,0.1826038508158728,0.7527650012098887
2022-10-01,722,3366,1394,5482,0.17661448140900196,0.7457132433418461,0.18268595474549004,0.7525187628747696
2022-09-30,761,3361,1359,5481,0.18461911693352742,0.7520525451559934,0.18213762148457552,0.7524482209700923
2022-09-29,762,3365,1352,5479,0.18463775139326388,0.7532396422704873,0.1818730319642519,0.7521419990374119
2022-09-28,809,3492,1176,5477,0.18809579167635435,0.7852839145517619,0.18147653457108923,0.7518678820652154
2022-09-27,736,3232,1370,5338,0.18548387096774194,0.7433495691270139,0.18128784175951854,0.751979611736477
2022-09-26,734,3242,1371,5347,0.1846076458752515,0.7435945389938283,0.18141105975925056,0.7515722495863343
2022-09-25,714,3372,1403,5489,0.17474302496328928,0.7443978866824558,0.18149888430462716,0.751553085250039
2022-09-24,707,3385,1399,5491,0.1727761485826002,0.7452194500091058,0.18185249274389045,0.7515476063249305
2022-09-23,753,3367,1374,5494,0.18276699029126214,0.7499089916272297,0.18292155909346688,0.7511782113202516
2022-09-22,750,3374,1365,5489,0.18186226964112512,0.7513208234651121,0.18364859730110566,0.7488726091339286
2022-09-21,805,3505,1173,5483,0.18677494199535963,0.7860660222505927,0.18432785883405164,0.7464225351641778
2022-09-20,737,3218,1386,5341,0.186346396965866,0.7404980340760158,0.1846984058010174,0.7438612571560856
2022-09-19,737,3242,1373,5352,0.18522241769288766,0.7434603886397608,0.18476670597713105,0.7420935972116627
2022-09-18,725,3366,1405,5496,0.17721828403813247,0.7443595342066958,0.18483592733716353,0.7402281481329637
2022-09-17,736,3347,1415,5498,0.18025961302963509,0.7426336849763551,0.1848697556819147,0.737428098472836
2022-09-16,758,3277,1464,5499,0.18785625774473358,0.7337697763229678,0.1844878405200456,0.7347059555799895
2022-09-15,753,3282,1461,5496,0.18661710037174722,0.7341703056768559,0.18367213148707734,0.7336053715809712
2022-09-14,798,3416,1272,5486,0.1893687707641196,0.7681370761939482,0.18271860549484256,0.7327834189898949
2022-09-13,726,3160,1451,5337,0.18682449819866187,0.7281244144650553,0.18198431389090347,0.7314799724832641
2022-09-12,725,3179,1441,5345,0.18570696721311475,0.7304022450888681,0.18119796412155184,0.7321285180706337
2022-09-11,721,3342,1543,5606,0.1774550824513906,0.724759186585801,0.17979118455748616,0.733143134540713
2022-09-10,721,3339,1551,5611,0.17758620689655172,0.7235786847264303,0.17936877692781375,0.7349700925599281
2022-09-09,757,3399,1568,5724,0.18214629451395573,0.7260656883298393,0.1789260544079136,0.7370415180872995
2022-09-08,750,3418,1554,5722,0.17994241842610365,0.728416637539322,0.17841779229225413,0.737589142642437
2022-09-07,799,3538,1377,5714,0.184228729536546,0.7590129506475324,0.17823527051390603,0.7381738475476892
2022-09-06,728,3287,1465,5480,0.1813200498132005,0.7326642335766423,0.1781665952571281,0.7388157757751568
2022-09-05,711,3332,1439,5482,0.17585951026465496,0.7375045603794236,0.17790110459160466,0.7385851085045243
2022-09-04,739,3496,1507,5742,0.1744982290436836,0.7375478927203065,0.1776015140163145,0.7382769787337471
2022-09-03,740,3501,1505,5746,0.17448714925725065,0.73807866341803,0.17577450409357592,0.7373199742427953
2022-09-02,749,3445,1552,5746,0.17858845970433954,0.7298990602158023,0.1739629411772398,0.7365731282007554
2022-09-01,752,3457,1537,5746,0.1786647659776669,0.7325095718760877,0.17267792488464728,0.7377393704267964
2022-08-31,805,3576,1357,5738,0.18374800273910066,0.7635064482398048,0.17158916660962653,0.7379415190121258
2022-08-30,720,3292,1476,5488,0.1794616151545364,0.7310495626822158,0.17070869053714485,0.7383539467811466
2022-08-29,702,3338,1454,5494,0.17376237623762375,0.7353476519839826,0.1705248590558008,0.7403417276518269
2022-08-28,685,3551,1560,5796,0.16170915958451368,0.7308488612836439,0.17143177149380254,0.7419214150391413
2022-08-27,688,3564,1550,5802,0.16180620884289745,0.7328507411237505,0.17157112327712448,0.7456555538485762
2022-08-26,734,3594,1536,5864,0.16959334565619225,0.73806275579809,0.1716320766833444,0.7486455062061206
2022-08-25,736,3567,1560,5863,0.1710434580525215,0.7339246119733924,0.17194337428732068,0.7504975576433461
2022-08-24,797,3691,1368,5856,0.17758467023172905,0.7663934426229508,0.17208953026730822,0.7529820115719593
2022-08-23,738,3404,1418,5560,0.17817479478512796,0.7449640287769784,0.17125314277790513,0.7548877353116505
2022-08-22,748,3405,1411,5564,0.18011076330363593,0.7464054636951833,0.17236722892623804,0.7546887740757787
2022-08-21,749,3855,1478,6082,0.16268462206776715,0.7569878329496876,0.17299541398231502,0.7547722959481009
2022-08-20,744,3842,1498,6084,0.16223288268643699,0.7537804076265615,0.17320391164897472,0.7551036368359709
2022-08-19,785,3785,1515,6085,0.17177242888402625,0.7510271158586689,0.17338118821465978,0.7559671968194503
2022-08-18,786,3782,1512,6080,0.17206654991243434,0.7513157894736842,0.1735317439687378,0.7568313021461722
2022-08-17,814,3926,1339,6079,0.17172995780590716,0.7797335088007896,0.17387378194073588,0.7577003780382313
2022-08-16,769,3366,1426,5561,0.1859733978234583,0.7435713001258767,0.17444541019460977,0.7584969939834626
2022-08-15,767,3390,1408,5565,0.18450805869617512,0.7469901168014376,0.17449584369902388,0.7586980195649884
2022-08-14,770,3921,1487,6178,0.16414410573438498,0.7593072191647783,0.17466229461976335,0.7588272375272371
2022-08-13,768,3930,1485,6183,0.16347381864623245,0.759825327510917,0.1754061966710312,0.7593457220191289
2022-08-12,809,3872,1502,6183,0.1728263191625721,0.7570758531457221,0.17623048033282007,0.7598418612810525
2022-08-11,817,3866,1500,6183,0.1744608157164211,0.757399320718098,0.17695338671333274,0.760037081946314
2022-08-10,853,4001,1327,6181,0.1757313555830243,0.7853098204174082,0.17717058856369286,0.7601701271771851
2022-08-09,774,3380,1422,5576,0.18632643235435725,0.7449784791965567,0.17738479051337072,0.7607101986164223
2022-08-08,775,3399,1407,5581,0.1856732151413512,0.7478946425371797,0.1778662541628652,0.7606720395999188
2022-08-07,799,3919,1466,6184,0.16935142009325985,0.7629366106080206,0.1780760079134998,0.7609856103607552
2022-08-06,799,3922,1464,6185,0.1692438042787545,0.7632983023443816,0.17798006290638285,0.7607624712709908
2022-08-05,835,3859,1495,6189,0.17788666382616106,0.758442397802553,0.17779897883185522,0.760204663248379
