lic_type,standard_app_type,year,mean,median,count,min,max,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
LPN-Temp,Temporary,Pending,142,141,58,17,273,53,0.9137931034482759,43,0.7413793103448276,38,0.6551724137931034,32,0.5517241379310345,24,0.41379310344827586,0,0
RN,Endorsement,2020,67,42,96085,0,797,57099,0.5942550866420357,35690,0.3714419524379456,22292,0.23200291408648593,14843,0.15447780610917416,7658,0.07970026539001926,835,0.008690222199094553
RN,Endorsement,2021,74,43,98422,0,1297,59774,0.6073235658694195,38270,0.38883582938773853,26496,0.269208103879214,18623,0.18921582573001972,9827,0.09984556298388572,1438,0.01461055455081181
RN,Endorsement,Pending,155,144,29552,0,369,27063,0.9157755820249053,24104,0.8156469951272334,21201,0.7174133730373579,17404,0.5889279913373038,11149,0.37726719003789927,26,8.798050893340552e-4
RN,Exam,2020,91,76,105021,0,5070,98195,0.9350034754953771,69673,0.6634196970129783,38064,0.36244179735481474,19210,0.18291579779282238,6615,0.0629874025194961,1280,0.01218803858275964
RN,Exam,2021,97,81,106564,0,5469,99971,0.9381310761608048,75466,0.7081753687924628,43739,0.410448181374573,21585,0.20255433354603805,6960,0.06531286363124507,1862,0.017473067827784242
RN,Exam,Pending,141,134,26661,0,369,22816,0.8557818536438994,19380,0.7269044671992798,17217,0.645774727129515,14568,0.5464161134241026,9348,0.35062450770788794,21,7.876673793181051e-4
RN,Exam-retest,2020,101,68,3587,1,2091,3365,0.9381098410928352,2071,0.577362698633956,1314,0.3663228324505158,854,0.23808196264287707,428,0.11931976582102036,82,0.022860328965709508
RN,Exam-retest,2021,97,59,4304,0,3740,3864,0.8977695167286245,2111,0.49047397769516726,1371,0.31854089219330856,977,0.22699814126394052,537,0.12476765799256506,89,0.020678438661710038
RN,Exam-retest,Pending,212,211,4308,15,365,4275,0.9923398328690808,4178,0.9698235840297121,4104,0.9526462395543176,3620,0.840297121634169,2547,0.591225626740947,0,0
RN,Other,2020,94,79.5,760,0,647,524,0.6894736842105263,440,0.5789473684210527,352,0.4631578947368421,240,0.3157894736842105,100,0.13157894736842105,9,0.011842105263157895
RN,Other,2021,51,15,1543,0,875,576,0.37329876863253403,413,0.2676604018146468,320,0.20738820479585224,228,0.14776409591704473,73,0.047310434219053794,11,0.007128969539857421
RN,Other,Pending,108,99,589,15,360,587,0.9966044142614601,479,0.8132427843803056,332,0.5636672325976231,217,0.3684210526315789,31,0.05263157894736842,0,0
RN,Reinstatement,2020,74,30,5009,0,698,2451,0.4893192253942903,1497,0.29886204831303653,1108,0.22120183669395088,902,0.18007586344579757,611,0.1219804352166101,196,0.039129566779796364
RN,Reinstatement,2021,94,34,4765,0,981,2571,0.5395592864637986,1532,0.321511017838405,1123,0.23567681007345226,929,0.1949632738719832,695,0.1458551941238195,329,0.06904512067156349
RN,Reinstatement,Pending,107,85,530,3,287,456,0.8603773584905661,330,0.6226415094339622,252,0.47547169811320755,194,0.3660377358490566,109,0.20566037735849058,0,0
RN,Renewal,2020,7,0,243292,0,8404,1786,0.007340972987192345,1119,0.004599411406869112,878,0.0036088321851931015,803,0.003300560643177745,789,0.0032430166220015454,734,0.003016950824523618
RN,Renewal,2021,10,0,134307,0,8693,1359,0.01011860885880855,958,0.0071329119107715905,854,0.0063585665676398105,782,0.005822481330087039,699,0.005204494181241484,555,0.0041323237061359425
RN,Renewal,Pending,163,224,20,14,290,13,0.65,12,0.6,12,0.6,12,0.6,11,0.55,0,0
RN,Unknown,2020,63,47,17587,0,3938,10545,0.5995906066981292,7123,0.4050150679479161,4053,0.23045431284471485,2239,0.1273099448456246,936,0.053221129243190994,193,0.010974014897367374
RN,Unknown,2021,64,45,14464,0,4214,8401,0.5808213495575221,5843,0.4039684734513274,2929,0.20250276548672566,1584,0.10951327433628319,812,0.05613938053097345,195,0.01348174778761062
RN,Unknown,Pending,140,135,3590,27,308,3524,0.9816155988857939,3005,0.8370473537604457,2406,0.6701949860724234,1967,0.5479108635097493,1125,0.31337047353760444,0,0
RN-Provisional,Temporary,2020,39,32,10444,0,369,5355,0.5127345844504021,2374,0.22730754500191497,729,0.06980084258904634,197,0.018862504787437763,54,0.005170432784373803,1,9.574875526618154e-5
RN-Provisional,Temporary,2021,41,35,8205,0,566,4481,0.5461304082876295,2036,0.24814137720901888,623,0.07592931139549056,177,0.02157221206581353,59,0.007190737355271176,3,3.6563071297989033e-4
RN-Provisional,Temporary,Pending,100,86.5,62,4,255,42,0.6774193548387096,39,0.6290322580645161,29,0.46774193548387094,22,0.3548387096774194,10,0.16129032258064516,0,0
RN-Refresher Temporary,Temporary,2020,34,16,22,1,249,8,0.36363636363636365,2,0.09090909090909091,2,0.09090909090909091,1,0.045454545454545456,1,0.045454545454545456,0,0
RN-Refresher Temporary,Temporary,2021,20,15,11,0,81,3,0.2727272727272727,1,0.09090909090909091,0,0,0,0,0,0,0,0
RN-Temp,Temporary,2020,18,4,25073,0,602,4942,0.19710445499142504,1690,0.06740318270649703,751,0.029952538587325012,444,0.0177082917879791,171,0.006820085350775735,19,7.577872611973039e-4
RN-Temp,Temporary,2021,17,4,20348,0,812,3519,0.17294082956555926,1402,0.06890112050324357,633,0.031108708472577157,355,0.01744643208177708,109,0.005356791822292117,16,7.863180656575585e-4
RN-Temp,Temporary,Pending,206,199,3635,8,366,3564,0.9804676753782668,3487,0.9592847317744154,3464,0.9529573590096286,3040,0.8363136176066025,2037,0.560385144429161,5,0.001375515818431912
Unknown,Unknown,2021,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown-Temp,Temporary,2020,10,2,2522,0,612,92,0.03647898493259318,58,0.022997620935765267,40,0.01586042823156225,34,0.013481363996827915,30,0.011895321173671689,24,0.00951625693893735
Unknown-Temp,Temporary,2021,12,2,2214,0,910,82,0.037037037037037035,58,0.026196928635953028,34,0.015356820234869015,24,0.01084010840108401,20,0.009033423667570008,20,0.009033423667570008
Volunteer RN,Temporary,2021,6,6,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0
Volunteer RN,Temporary,Pending,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0
