,date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
13538,2022-01-12,IA,14,41,71
24489,2022-01-12,ID,6,43,3
20969,2022-01-12,IL,33,148,24
17247,2022-01-12,IN,44,121,3
12734,2022-01-12,KS,55,88,7
23395,2022-01-12,KY,38,68,11
21752,2022-01-12,LA,58,162,5
18111,2022-01-12,MA,37,64,1
15278,2022-01-12,MD,11,48,1
19443,2022-01-12,ME,2,24,13
22697,2022-01-12,MI,50,110,4
12144,2022-01-12,MN,26,89,25
17984,2022-01-12,MO,56,70,15
15013,2022-01-12,MS,23,85,2
20121,2022-01-12,MT,9,53,4
23214,2022-01-12,NC,14,106,12
24192,2022-01-12,ND,14,34,1
20647,2022-01-12,NE,26,72,1
17844,2022-01-12,NH,6,6,18
13262,2022-01-12,NJ,18,71,7
23465,2022-01-12,NM,26,29,1
12562,2022-01-12,NV,0,4,57
22642,2022-01-12,NY,19,179,10
21549,2022-01-12,OH,53,168,14
11769,2022-01-12,OK,53,95,4
14938,2022-01-12,OR,9,54,2
19962,2022-01-12,PA,48,176,6
22331,2022-01-12,PR,12,52,2
14309,2022-01-12,RI,7,6,2
17636,2022-01-12,SC,29,54,5
20863,2022-01-12,SD,5,57,3
20065,2022-01-12,TN,54,84,3
13833,2022-01-12,TX,26,97,471
23540,2022-01-12,UT,5,45,9
20363,2022-01-12,VA,26,61,20
17147,2022-01-12,VI,2,0,0
12619,2022-01-12,VT,11,5,1
23092,2022-01-12,WA,19,84,2
18974,2022-01-12,WI,53,76,21
18018,2022-01-12,WV,28,31,4
15611,2022-01-12,WY,11,18,2
18486,2022-01-11,AK,3,17,2
22156,2022-01-11,AL,28,54,32
12043,2022-01-11,AR,26,68,2
18212,2022-01-11,AS,1,0,0
21030,2022-01-11,AZ,36,67,3
19551,2022-01-11,CA,165,180,31
23122,2022-01-11,CO,29,44,25
19566,2022-01-11,CT,3,24,7
16322,2022-01-11,DC,0,12,2
12215,2022-01-11,DE,1,9,1
21863,2022-01-11,FL,46,136,60
22137,2022-01-11,GA,42,94,21
14054,2022-01-11,HI,6,15,4
23796,2022-01-11,IA,11,21,90
20656,2022-01-11,ID,4,41,3
12199,2022-01-11,IL,32,130,25
14916,2022-01-11,IN,42,89,3
19483,2022-01-11,KS,47,89,7
23142,2022-01-11,KY,39,60,7
13197,2022-01-11,LA,58,162,5
15738,2022-01-11,MA,30,52,1
18787,2022-01-11,MD,7,41,5
22504,2022-01-11,ME,2,22,12
24185,2022-01-11,MI,50,105,4
20191,2022-01-11,MN,25,80,26
17809,2022-01-11,MO,44,56,25
14468,2022-01-11,MS,22,79,2
14777,2022-01-11,MT,10,50,4
24440,2022-01-11,NC,11,97,12
20451,2022-01-11,ND,15,31,1
17114,2022-01-11,NE,25,69,1
15578,2022-01-11,NH,5,6,18
18458,2022-01-11,NJ,17,52,11
22985,2022-01-11,NM,28,23,1
12884,2022-01-11,NV,0,3,57
16405,2022-01-11,NY,15,155,10
20081,2022-01-11,OH,57,128,15
22031,2022-01-11,OK,49,82,8
12016,2022-01-11,OR,9,47,7
21196,2022-01-11,PA,42,161,6
17037,2022-01-11,PR,2,11,53
14655,2022-01-11,RI,8,4,2
25224,2022-01-11,SC,25,46,5
18559,2022-01-11,SD,4,57,3
14868,2022-01-11,TN,50,68,3
23689,2022-01-11,TX,22,68,414
20547,2022-01-11,UT,3,41,9
12930,2022-01-11,VA,22,60,20
15665,2022-01-11,VI,2,0,0
19388,2022-01-11,VT,11,5,1
22772,2022-01-11,WA,25,67,2
13919,2022-01-11,WI,49,69,22
16324,2022-01-11,WV,26,33,4
18685,2022-01-11,WY,11,16,2
21952,2022-01-10,AK,2,20,1
25143,2022-01-10,AL,26,55,33
20740,2022-01-10,AR,26,68,2
17913,2022-01-10,AS,1,0,0
14180,2022-01-10,AZ,38,65,3
22613,2022-01-10,CA,167,177,32
25011,2022-01-10,CO,30,42,26
20490,2022-01-10,CT,1,25,7
16757,2022-01-10,DC,0,13,1
69,2022-01-10,DE,1,9,1
18976,2022-01-10,FL,44,139,60
23011,2022-01-10,GA,43,91,23
12523,2022-01-10,HI,8,13,4
17500,2022-01-10,IA,11,19,92
19976,2022-01-10,ID,4,41,3
22230,2022-01-10,IL,28,132,27
11673,2022-01-10,IN,41,90,3
20611,2022-01-10,KS,43,93,7
16886,2022-01-10,KY,40,58,8
14961,2022-01-10,LA,59,161,5
12287,2022-01-10,MA,31,51,1
24824,2022-01-10,MD,8,40,5
13869,2022-01-10,ME,4,20,12
23949,2022-01-10,MI,52,103,4
20385,2022-01-10,MN,25,80,26
12418,2022-01-10,MO,45,55,25
16650,2022-01-10,MS,25,76,2
21432,2022-01-10,MT,9,51,4
24598,2022-01-10,NC,12,97,12
11554,2022-01-10,ND,13,33,1
15537,2022-01-10,NE,25,69,1
18828,2022-01-10,NH,6,4,19
22125,2022-01-10,NJ,18,51,11
24433,2022-01-10,NM,27,25,1
21641,2022-01-10,NV,0,3,57
19784,2022-01-10,NY,18,151,10
16054,2022-01-10,OH,59,126,15
13270,2022-01-10,OK,52,83,3
24217,2022-01-10,OR,7,49,7
20648,2022-01-10,PA,47,156,6
16943,2022-01-10,PR,2,10,54
16132,2022-01-10,RI,8,4,2
19950,2022-01-10,SC,27,44,5
25226,2022-01-10,SD,5,56,3
14636,2022-01-10,TN,49,70,3
15327,2022-01-10,TX,23,68,413
19392,2022-01-10,UT,3,41,9
22708,2022-01-10,VA,24,59,20
12188,2022-01-10,VI,2,0,0
21805,2022-01-10,VT,11,5,1
18144,2022-01-10,WA,23,68,3
13584,2022-01-10,WI,51,67,23
12568,2022-01-10,WV,26,33,4
24289,2022-01-10,WY,11,16,2
13363,2022-01-09,AK,3,20,1
25181,2022-01-09,AL,33,55,29
20874,2022-01-09,AR,24,86,2
12181,2022-01-09,AS,1,0,0
16055,2022-01-09,AZ,34,85,3
18883,2022-01-09,CA,165,220,30
25122,2022-01-09,CO,27,54,25
11657,2022-01-09,CT,1,32,7
15240,2022-01-09,DC,0,13,1
19792,2022-01-09,DE,3,12,1
22660,2022-01-09,FL,41,170,60
24469,2022-01-09,GA,42,108,22
21357,2022-01-09,HI,5,17,4
17235,2022-01-09,IA,8,18,100
16643,2022-01-09,ID,4,45,3
13411,2022-01-09,IL,19,158,28
23926,2022-01-09,IN,44,121,3
21547,2022-01-09,KS,45,98,7
17471,2022-01-09,KY,43,64,10
15905,2022-01-09,LA,58,162,5
19633,2022-01-09,MA,37,65,1
22436,2022-01-09,MD,10,45,5
14522,2022-01-09,ME,3,23,13
15595,2022-01-09,MI,49,110,4
18451,2022-01-09,MN,27,87,26
22173,2022-01-09,MO,45,71,25
12024,2022-01-09,MS,15,93,2
19841,2022-01-09,MT,6,56,4
17496,2022-01-09,NC,13,108,12
14151,2022-01-09,ND,13,36,1
24719,2022-01-09,NE,24,74,1
18904,2022-01-09,NH,7,6,17
16553,2022-01-09,NJ,19,66,11
18200,2022-01-09,NM,26,29,2
21433,2022-01-09,NV,0,4,57
18605,2022-01-09,NY,17,181,10
21220,2022-01-09,OH,50,170,14
17534,2022-01-09,OK,43,95,13
13822,2022-01-09,OR,8,50,7
23116,2022-01-09,PA,43,179,6
18582,2022-01-09,PR,2,8,56
16649,2022-01-09,RI,8,5,2
12988,2022-01-09,SC,25,58,5
13532,2022-01-09,SD,3,59,3
15865,2022-01-09,TN,49,91,3
19130,2022-01-09,TX,19,98,477
22426,2022-01-09,UT,4,46,9
14388,2022-01-09,VA,24,63,20
16820,2022-01-09,VI,1,1,0
21806,2022-01-09,VT,11,5,1
24977,2022-01-09,WA,20,81,4
14948,2022-01-09,WI,48,79,23
12233,2022-01-09,WV,26,33,4
13648,2022-01-09,WY,11,18,2
23784,2022-01-08,AK,2,21,1
19259,2022-01-08,AL,33,55,29
16482,2022-01-08,AR,22,88,2
12847,2022-01-08,AS,1,0,0
22952,2022-01-08,AZ,36,83,3
16230,2022-01-08,CA,168,216,31
19502,2022-01-08,CO,25,56,25
21899,2022-01-08,CT,1,32,7
12276,2022-01-08,DC,0,12,2
17487,2022-01-08,DE,3,12,1
20285,2022-01-08,FL,41,170,60
18317,2022-01-08,GA,41,109,22
21179,2022-01-08,HI,4,18,4
24722,2022-01-08,IA,8,18,100
21538,2022-01-08,ID,5,44,3
17421,2022-01-08,IL,22,156,28
13341,2022-01-08,IN,42,123,3
22131,2022-01-08,KS,46,97,7
18854,2022-01-08,KY,43,68,6
16542,2022-01-08,LA,58,162,5
12472,2022-01-08,MA,36,66,1
12712,2022-01-08,MD,9,46,5
16321,2022-01-08,ME,3,23,13
19027,2022-01-08,MI,47,112,4
21949,2022-01-08,MN,27,87,26
13482,2022-01-08,MO,43,73,25
17195,2022-01-08,MS,16,92,2
21703,2022-01-08,MT,7,55,4
24416,2022-01-08,NC,13,108,12
21307,2022-01-08,ND,14,35,1
18059,2022-01-08,NE,24,74,1
13324,2022-01-08,NH,6,8,16
23849,2022-01-08,NJ,19,65,12
19791,2022-01-08,NM,25,30,2
15629,2022-01-08,NV,0,4,57
12539,2022-01-08,NY,17,181,10
23047,2022-01-08,OH,48,171,15
15903,2022-01-08,OK,41,98,13
19610,2022-01-08,OR,8,50,7
22355,2022-01-08,PA,42,180,6
13071,2022-01-08,PR,1,9,56
16698,2022-01-08,RI,8,4,3
20427,2022-01-08,SC,28,55,5
16725,2022-01-08,SD,6,56,3
16000,2022-01-08,TN,47,93,3
23947,2022-01-08,TX,19,98,477
20836,2022-01-08,UT,3,47,9
17562,2022-01-08,VA,21,66,20
70,2022-01-08,VI,2,0,0
18992,2022-01-08,VT,11,5,1
20094,2022-01-08,WA,22,79,4
14943,2022-01-08,WI,49,78,23
71,2022-01-08,WV,26,33,4
12193,2022-01-08,WY,12,17,2
15622,2022-01-07,AK,2,21,1
19348,2022-01-07,AL,33,55,29
22201,2022-01-07,AR,21,89,2
14663,2022-01-07,AS,1,0,0
18384,2022-01-07,AZ,34,85,3
20341,2022-01-07,CA,163,219,33
19682,2022-01-07,CO,28,53,25
20779,2022-01-07,CT,1,32,7
17535,2022-01-07,DC,0,12,2
14231,2022-01-07,DE,2,13,1
23940,2022-01-07,FL,42,169,60
19921,2022-01-07,GA,44,106,22
15754,2022-01-07,HI,4,18,4
11748,2022-01-07,IA,13,20,93
22303,2022-01-07,ID,6,43,3
15093,2022-01-07,IL,18,161,27
19189,2022-01-07,IN,43,122,3
22503,2022-01-07,KS,42,101,7
11945,2022-01-07,KY,43,69,5
17742,2022-01-07,LA,58,162,5
21775,2022-01-07,MA,36,66,1
12590,2022-01-07,MD,10,49,1
16645,2022-01-07,ME,3,23,13
24079,2022-01-07,MI,48,111,4
20476,2022-01-07,MN,26,88,26
16766,2022-01-07,MO,46,71,24
13926,2022-01-07,MS,13,95,2
23162,2022-01-07,MT,8,54,4
19631,2022-01-07,NC,13,108,12
17723,2022-01-07,ND,15,34,1
14860,2022-01-07,NE,28,70,1
11980,2022-01-07,NH,6,6,18
15138,2022-01-07,NJ,19,66,11
18430,2022-01-07,NM,27,29,1
22552,2022-01-07,NV,0,4,57
14541,2022-01-07,NY,17,181,10
17865,2022-01-07,OH,51,168,15
15768,2022-01-07,OK,50,99,3
19938,2022-01-07,OR,8,50,7
20679,2022-01-07,PA,47,175,6
16974,2022-01-07,PR,3,10,53
72,2022-01-07,RI,8,5,2
24207,2022-01-07,SC,26,57,5
19578,2022-01-07,SD,3,59,3
15874,2022-01-07,TN,48,92,3
14130,2022-01-07,TX,21,98,475
25146,2022-01-07,UT,3,47,9
17538,2022-01-07,VA,22,65,20
21618,2022-01-07,VI,2,0,0
23882,2022-01-07,VT,10,6,1
13225,2022-01-07,WA,24,77,4
16626,2022-01-07,WI,51,76,23
20764,2022-01-07,WV,25,34,4
15693,2022-01-07,WY,11,18,2
18957,2022-01-06,AK,1,22,1
21344,2022-01-06,AL,32,56,29
16808,2022-01-06,AR,19,91,2
14818,2022-01-06,AS,1,0,0
24960,2022-01-06,AZ,34,85,3
18790,2022-01-06,CA,161,221,33
21234,2022-01-06,CO,28,53,25
17550,2022-01-06,CT,1,32,7
13805,2022-01-06,DC,0,12,2
12430,2022-01-06,DE,3,12,1
16442,2022-01-06,FL,41,170,60
19707,2022-01-06,GA,42,108,22
22939,2022-01-06,HI,4,18,4
13245,2022-01-06,IA,10,23,93
17337,2022-01-06,ID,5,44,3
18798,2022-01-06,IL,19,160,27
22081,2022-01-06,IN,43,122,3
17665,2022-01-06,KS,37,106,7
14767,2022-01-06,KY,40,70,7
24910,2022-01-06,LA,58,162,5
21328,2022-01-06,MA,35,67,1
14958,2022-01-06,MD,7,48,5
12124,2022-01-06,ME,4,22,13
13957,2022-01-06,MI,48,111,4
23660,2022-01-06,MN,26,88,26
15596,2022-01-06,MO,45,74,22
18478,2022-01-06,MS,10,98,2
23001,2022-01-06,MT,8,54,4
12866,2022-01-06,NC,13,108,12
16588,2022-01-06,ND,16,33,1
19362,2022-01-06,NE,28,70,1
15593,2022-01-06,NH,10,17,3
18527,2022-01-06,NJ,19,65,12
20376,2022-01-06,NM,27,29,1
17101,2022-01-06,NV,0,4,57
14723,2022-01-06,NY,14,184,10
24382,2022-01-06,OH,51,168,15
24590,2022-01-06,OK,48,100,4
21450,2022-01-06,OR,7,51,7
17435,2022-01-06,PA,45,177,6
13218,2022-01-06,PR,2,9,55
12947,2022-01-06,RI,8,5,2
15677,2022-01-06,SC,25,58,5
19333,2022-01-06,SD,2,60,3
23057,2022-01-06,TN,47,93,3
12696,2022-01-06,TX,22,99,474
16303,2022-01-06,UT,3,47,9
18512,2022-01-06,VA,24,63,20
22185,2022-01-06,VI,2,0,0
73,2022-01-06,VT,10,6,1
13994,2022-01-06,WA,21,80,4
24565,2022-01-06,WI,50,77,23
21257,2022-01-06,WV,25,34,4
15380,2022-01-06,WY,10,19,2
18249,2022-01-05,AK,1,22,1
13235,2022-01-05,AL,32,58,27
23772,2022-01-05,AR,24,86,2
74,2022-01-05,AS,0,1,0
18620,2022-01-05,AZ,35,84,3
23267,2022-01-05,CA,148,235,32
13990,2022-01-05,CO,27,54,25
15802,2022-01-05,CT,1,32,7
19471,2022-01-05,DC,0,13,1
15752,2022-01-05,DE,3,12,1
18628,2022-01-05,FL,39,175,56
21541,2022-01-05,GA,43,107,22
18321,2022-01-05,HI,4,22,0
13307,2022-01-05,IA,16,43,67
12814,2022-01-05,ID,5,44,3
24057,2022-01-05,IL,21,158,27
20924,2022-01-05,IN,46,119,3
17715,2022-01-05,KS,39,104,7
13513,2022-01-05,KY,40,70,7
13053,2022-01-05,LA,57,163,5
15737,2022-01-05,MA,34,68,1
18614,2022-01-05,MD,8,51,1
22314,2022-01-05,ME,3,23,13
12179,2022-01-05,MI,47,112,4
15721,2022-01-05,MN,25,90,25
19426,2022-01-05,MO,47,73,21
22274,2022-01-05,MS,10,97,3
18264,2022-01-05,MT,8,54,4
14373,2022-01-05,NC,12,108,12
23668,2022-01-05,ND,14,35,1
20965,2022-01-05,NE,28,70,1
20768,2022-01-05,NH,10,17,3
17058,2022-01-05,NJ,19,71,6
14193,2022-01-05,NM,27,29,1
25210,2022-01-05,NV,0,4,57
15899,2022-01-05,NY,14,184,10
19988,2022-01-05,OH,52,169,13
24964,2022-01-05,OK,48,100,4
14384,2022-01-05,OR,6,52,7
15017,2022-01-05,PA,44,179,6
19138,2022-01-05,PR,10,54,2
15024,2022-01-05,RI,8,5,2
19123,2022-01-05,SC,25,58,5
21518,2022-01-05,SD,3,59,3
17781,2022-01-05,TN,49,90,3
15745,2022-01-05,TX,22,101,472
13009,2022-01-05,UT,3,47,9
23943,2022-01-05,VA,23,64,20
20410,2022-01-05,VI,2,0,0
16706,2022-01-05,VT,11,5,1
13843,2022-01-05,WA,21,80,4
12739,2022-01-05,WI,46,80,24
15891,2022-01-05,WV,27,32,4
21116,2022-01-05,WY,9,20,2
25128,2022-01-04,AK,1,20,1
12057,2022-01-04,AL,31,55,28
15192,2022-01-04,AR,18,76,2
18465,2022-01-04,AS,0,1,0
22635,2022-01-04,AZ,36,66,3
17811,2022-01-04,CA,154,187,36
14073,2022-01-04,CO,27,45,25
24202,2022-01-04,CT,1,25,7
23181,2022-01-04,DC,0,12,2
20423,2022-01-04,DE,1,8,2
16723,2022-01-04,FL,39,143,60
14745,2022-01-04,GA,41,93,22
23984,2022-01-04,HI,4,21,0
21772,2022-01-04,IA,10,22,90
18950,2022-01-04,ID,3,42,3
23043,2022-01-04,IL,16,146,25
12531,2022-01-04,IN,40,91,3
17466,2022-01-04,KS,39,97,7
21542,2022-01-04,KY,38,58,10
12836,2022-01-04,LA,57,163,5
22926,2022-01-04,MA,26,56,1
23841,2022-01-04,MD,6,42,5
12618,2022-01-04,ME,3,21,12
15708,2022-01-04,MI,47,108,4
18998,2022-01-04,MN,23,82,26
24812,2022-01-04,MO,38,67,19
13375,2022-01-04,MS,9,92,2
18383,2022-01-04,MT,9,51,4
21605,2022-01-04,NC,11,97,12
11661,2022-01-04,ND,15,31,1
22630,2022-01-04,NE,25,69,1
24049,2022-01-04,NH,10,16,3
20494,2022-01-04,NJ,17,51,12
15909,2022-01-04,NM,26,26,1
12871,2022-01-04,NV,0,2,57
23373,2022-01-04,NY,14,155,10
19280,2022-01-04,OH,49,135,15
13559,2022-01-04,OK,50,86,3
17241,2022-01-04,OR,6,50,7
19146,2022-01-04,PA,40,167,6
22006,2022-01-04,PR,4,17,45
14354,2022-01-04,RI,8,4,2
18129,2022-01-04,SC,24,47,5
21771,2022-01-04,SD,2,59,3
24508,2022-01-04,TN,46,72,3
14713,2022-01-04,TX,19,74,412
24406,2022-01-04,UT,1,43,9
20409,2022-01-04,VA,21,60,20
17517,2022-01-04,VI,2,0,0
12552,2022-01-04,VT,11,5,1
22217,2022-01-04,WA,19,71,4
12535,2022-01-04,WI,46,70,23
23056,2022-01-04,WV,26,31,4
22933,2022-01-04,WY,9,18,2
12825,2022-01-03,AK,2,19,1
15603,2022-01-03,AL,33,55,26
18412,2022-01-03,AR,18,76,2
23786,2022-01-03,AS,0,1,0
13668,2022-01-03,AZ,37,66,3
18283,2022-01-03,CA,154,189,34
21085,2022-01-03,CO,27,45,25
12183,2022-01-03,CT,1,25,7
14899,2022-01-03,DC,0,12,2
23536,2022-01-03,DE,1,8,2
20574,2022-01-03,FL,39,143,60
16421,2022-01-03,GA,39,95,22
12396,2022-01-03,HI,3,18,4
22898,2022-01-03,IA,10,23,89
19641,2022-01-03,ID,3,42,3
13670,2022-01-03,IL,15,148,25
16504,2022-01-03,IN,38,95,3
18426,2022-01-03,KS,37,99,7
22086,2022-01-03,KY,37,62,7
14458,2022-01-03,LA,57,163,5
17334,2022-01-03,MA,25,57,1
21074,2022-01-03,MD,6,46,1
24613,2022-01-03,ME,3,21,12
14168,2022-01-03,MI,46,109,4
24728,2022-01-03,MN,23,82,26
20751,2022-01-03,MO,37,63,24
18363,2022-01-03,MS,11,90,2
11791,2022-01-03,MT,8,52,4
22251,2022-01-03,NC,11,97,12
11714,2022-01-03,ND,15,31,1
22330,2022-01-03,NE,25,69,1
22410,2022-01-03,NH,10,16,3
12338,2022-01-03,NJ,18,51,11
15860,2022-01-03,NM,27,25,1
18738,2022-01-03,NV,0,2,57
24994,2022-01-03,NY,12,157,10
14854,2022-01-03,OH,51,133,15
16793,2022-01-03,OK,48,87,4
16134,2022-01-03,OR,6,50,7
17436,2022-01-03,PA,44,163,6
13506,2022-01-03,PR,2,7,57
24497,2022-01-03,RI,7,4,2
21763,2022-01-03,SC,28,43,5
16307,2022-01-03,SD,1,60,3
12708,2022-01-03,TN,46,72,3
21935,2022-01-03,TX,19,73,413
19101,2022-01-03,UT,1,43,9
12161,2022-01-03,VA,22,59,20
12040,2022-01-03,VI,2,0,0
19445,2022-01-03,VT,12,4,1
23520,2022-01-03,WA,18,72,4
14577,2022-01-03,WI,48,69,22
17900,2022-01-03,WV,25,32,4
20249,2022-01-03,WY,10,17,2
24259,2022-01-02,AK,1,22,1
13284,2022-01-02,AL,33,57,27
24208,2022-01-02,AR,15,95,2
20681,2022-01-02,AS,0,1,0
16965,2022-01-02,AZ,34,84,3
12475,2022-01-02,CA,156,223,35
23247,2022-01-02,CO,27,55,25
14089,2022-01-02,CT,0,33,7
25098,2022-01-02,DC,0,12,2
22339,2022-01-02,DE,2,11,2
11747,2022-01-02,FL,38,172,60
14909,2022-01-02,GA,38,112,21
19040,2022-01-02,HI,4,18,4
24872,2022-01-02,IA,8,17,101
14281,2022-01-02,ID,4,46,3
12455,2022-01-02,IL,17,163,27
16622,2022-01-02,IN,31,134,3
16884,2022-01-02,KS,36,106,7
13230,2022-01-02,KY,39,68,10
25073,2022-01-02,LA,55,165,5
20626,2022-01-02,MA,32,70,1
16163,2022-01-02,MD,10,45,5
12603,2022-01-02,ME,2,24,13
22534,2022-01-02,MI,45,115,4
21455,2022-01-02,MN,24,90,26
11845,2022-01-02,MO,40,79,22
14992,2022-01-02,MS,12,95,3
19977,2022-01-02,MT,9,53,4
22369,2022-01-02,NC,11,109,12
14239,2022-01-02,ND,14,35,1
17565,2022-01-02,NE,24,74,1
20882,2022-01-02,NH,11,16,3
19699,2022-01-02,NJ,18,67,11
22380,2022-01-02,NM,27,27,2
18694,2022-01-02,NV,0,4,57
14996,2022-01-02,NY,10,187,10
12208,2022-01-02,OH,49,171,15
24884,2022-01-02,OK,40,97,13
21295,2022-01-02,OR,8,50,7
13666,2022-01-02,PA,34,190,6
23791,2022-01-02,PR,2,6,58
22728,2022-01-02,RI,7,6,2
13054,2022-01-02,SC,28,55,5
16231,2022-01-02,SD,1,61,3
19504,2022-01-02,TN,45,94,3
23938,2022-01-02,TX,18,103,474
13838,2022-01-02,UT,1,49,9
15716,2022-01-02,VA,22,65,20
18575,2022-01-02,VI,2,0,0
14252,2022-01-02,VT,10,6,1
24841,2022-01-02,WA,16,85,4
21634,2022-01-02,WI,46,79,23
17572,2022-01-02,WV,26,31,4
11775,2022-01-02,WY,10,19,2
22338,2022-01-01,AK,2,21,1
24145,2022-01-01,AL,33,56,28
20146,2022-01-01,AR,14,96,2
12434,2022-01-01,AS,0,1,0
16293,2022-01-01,AZ,33,85,3
20009,2022-01-01,CA,152,227,35
22821,2022-01-01,CO,26,56,25
13465,2022-01-01,CT,0,33,7
17149,2022-01-01,DC,0,12,2
19047,2022-01-01,DE,2,11,2
21880,2022-01-01,FL,38,172,60
24578,2022-01-01,GA,40,110,21
20571,2022-01-01,HI,4,18,4
18181,2022-01-01,IA,6,21,99
14852,2022-01-01,ID,4,46,3
21968,2022-01-01,IL,19,161,27
24744,2022-01-01,IN,30,135,3
13390,2022-01-01,KS,36,106,7
23876,2022-01-01,KY,41,69,7
23224,2022-01-01,LA,55,165,5
12322,2022-01-01,MA,32,70,1
15904,2022-01-01,MD,10,45,5
19609,2022-01-01,ME,2,24,13
23006,2022-01-01,MI,43,117,4
12922,2022-01-01,MN,24,90,26
14993,2022-01-01,MO,41,76,24
18495,2022-01-01,MS,10,97,3
14607,2022-01-01,MT,8,54,4
24293,2022-01-01,NC,11,109,12
21148,2022-01-01,ND,11,38,1
17889,2022-01-01,NE,23,75,1
12165,2022-01-01,NH,11,15,4
14883,2022-01-01,NJ,19,66,11
23645,2022-01-01,NM,26,28,2
20469,2022-01-01,NV,0,4,57
12972,2022-01-01,NY,10,187,10
15701,2022-01-01,OH,49,172,14
19438,2022-01-01,OK,39,98,13
23027,2022-01-01,OR,6,52,7
13657,2022-01-01,PA,33,191,6
16498,2022-01-01,PR,1,7,58
18534,2022-01-01,RI,7,6,2
22211,2022-01-01,SC,28,55,5
23810,2022-01-01,SD,1,61,3
20604,2022-01-01,TN,44,95,3
18288,2022-01-01,TX,17,104,474
14086,2022-01-01,UT,1,49,9
14286,2022-01-01,VA,22,65,20
24826,2022-01-01,VI,2,0,0
75,2022-01-01,VT,10,6,1
24848,2022-01-01,WA,15,86,4
23319,2022-01-01,WI,45,80,23
12431,2022-01-01,WV,26,31,4
15121,2022-01-01,WY,10,19,2
19217,2021-12-31,AK,2,21,1
22528,2021-12-31,AL,31,59,27
11970,2021-12-31,AR,18,92,2
16007,2021-12-31,AS,0,1,0
18392,2021-12-31,AZ,34,84,3
14507,2021-12-31,CA,151,230,32
24640,2021-12-31,CO,28,54,25
20150,2021-12-31,CT,0,33,7
17341,2021-12-31,DC,0,12,2
17200,2021-12-31,DE,2,11,2
13494,2021-12-31,FL,37,174,59
24448,2021-12-31,GA,41,109,21
21714,2021-12-31,HI,3,19,4
12878,2021-12-31,IA,7,18,101
15997,2021-12-31,ID,4,46,3
18437,2021-12-31,IL,17,163,27
22560,2021-12-31,IN,31,134,3
12148,2021-12-31,KS,37,105,7
15289,2021-12-31,KY,39,70,8
19399,2021-12-31,LA,55,165,5
23482,2021-12-31,MA,32,70,1
25169,2021-12-31,MD,8,51,1
21590,2021-12-31,ME,2,24,13
17023,2021-12-31,MI,36,124,4
15910,2021-12-31,MN,24,90,26
13940,2021-12-31,MO,40,79,22
24062,2021-12-31,MS,10,98,2
14810,2021-12-31,MT,9,53,4
24041,2021-12-31,NC,11,109,12
22998,2021-12-31,ND,14,35,1
12722,2021-12-31,NE,25,73,1
17676,2021-12-31,NH,9,18,3
21765,2021-12-31,NJ,19,66,11
22409,2021-12-31,NM,26,28,2
11892,2021-12-31,NV,0,4,57
15051,2021-12-31,NY,10,187,10
19143,2021-12-31,OH,49,171,15
14358,2021-12-31,OK,45,101,4
24493,2021-12-31,OR,5,53,7
21010,2021-12-31,PA,36,188,6
19895,2021-12-31,PR,2,7,57
17075,2021-12-31,RI,7,6,2
13400,2021-12-31,SC,29,54,5
25227,2021-12-31,SD,1,61,3
20715,2021-12-31,TN,45,95,3
12766,2021-12-31,TX,17,104,474
15918,2021-12-31,UT,1,49,9
19077,2021-12-31,VA,22,65,20
24883,2021-12-31,VI,2,0,0
11799,2021-12-31,VT,10,6,1
14954,2021-12-31,WA,18,84,3
20014,2021-12-31,WI,45,80,23
22353,2021-12-31,WV,25,32,4
23245,2021-12-31,WY,11,18,2
19635,2021-12-30,AK,2,21,1
17722,2021-12-30,AL,32,58,27
14799,2021-12-30,AR,20,90,2
76,2021-12-30,AS,0,1,0
18709,2021-12-30,AZ,35,83,3
15012,2021-12-30,CA,149,229,35
17785,2021-12-30,CO,29,53,25
22718,2021-12-30,CT,0,33,7
19000,2021-12-30,DC,0,12,2
16157,2021-12-30,DE,2,11,2
16860,2021-12-30,FL,37,173,60
13164,2021-12-30,GA,41,108,22
23273,2021-12-30,HI,3,19,4
18785,2021-12-30,IA,11,20,95
15957,2021-12-30,ID,4,46,3
23721,2021-12-30,IL,18,163,26
13939,2021-12-30,IN,33,132,3
15442,2021-12-30,KS,40,102,7
18719,2021-12-30,KY,39,71,7
24496,2021-12-30,LA,55,165,5
14816,2021-12-30,MA,31,71,1
18163,2021-12-30,MD,5,54,1
21387,2021-12-30,ME,2,24,13
18543,2021-12-30,MI,36,124,4
15566,2021-12-30,MN,24,89,27
17139,2021-12-30,MO,42,78,21
13450,2021-12-30,MS,9,99,2
22757,2021-12-30,MT,8,54,4
19967,2021-12-30,NC,11,109,12
16258,2021-12-30,ND,14,35,1
12646,2021-12-30,NE,28,70,1
13435,2021-12-30,NH,8,19,3
15806,2021-12-30,NJ,19,66,11
19075,2021-12-30,NM,27,28,1
22358,2021-12-30,NV,0,4,57
14307,2021-12-30,NY,14,183,10
16791,2021-12-30,OH,50,170,15
21761,2021-12-30,OK,46,100,4
17690,2021-12-30,OR,6,52,7
22598,2021-12-30,PA,42,182,6
24937,2021-12-30,PR,1,10,55
20222,2021-12-30,RI,6,7,2
